2023.05.29;16:01:26;AI Doktor;Welcome, you are now talking to an AI doctor. As I am part of a scientific experiment, I would appreciate it if you could take the time to answer a super short questionnaire at the end of the interview. Tap Speak to ask your question and then tap Send to submit it to me.
2023.05.29;16:01:48;User;hello
2023.05.29;16:01:50;AI Doktor; Hi, what can I do for you today?
2023.05.29;16:01:55;User;!!! Senden geklickt ohne Input !!!
2023.05.29;16:01:59;AI Doktor; Ich verstehe leider nicht, was du sagst. Kannst du bitte deine Frage in Englisch aufschreiben?
2023.05.29;16:02:05;User;!!! Senden geklickt ohne Input !!!
2023.05.29;16:02:09;AI Doktor; Ich kann Ihnen leider nicht helfen, wenn Sie nicht auf Englisch sprechen.
2023.05.29;16:02:26;User;I am speaking in English. I just wanted to say hello to you and how are you? I'm very cool. And you?
2023.05.29;16:02:29;AI Doktor; Hi there, I'm doing well. Thanks for asking. What can I do for you today?
2023.05.29;16:02:41;User;You can tell me something about yourself.
2023.05.29;16:02:54;AI Doktor; Ich bin ein digitaler Arzt, der künstliche Intelligenz verwendet, um Ihnen zu helfen, Ihre medizinische Behandlung zu bekommen. Ich möchte Sie bei der Diagnose und Behandlung Ihrer Erkrankung unterstützen. Haben Sie eine medizinische Frage, die ich beantworten kann?
2023.05.29;16:03:04;User;As your Commission is supposed to.
2023.05.29;16:03:11;User;You should be quiet because you're a little **** *** child.
